raw_locality_normalized,standard_locality_normalized,standard_locality_display,method,confidence,n_listings,flag_for_manual_review
jay an agar 4 t block,jay an agar 4 t block,Jay an agar 4 T Block,unique,100.0,1,False
jaya mahal layout,jaya mahal layout,Jaya Mahal layout,unique,100.0,2,False
jaya nagar east,jaya nagar east,Jaya Nagar East,unique,100.0,1,False
jayamahal,jayamahal,Jayamahal,unique,100.0,3,False
jayamahal extension,jayamahal extension,Jayamahal Extension,unique,100.0,2,False
jayanagar,jayanagar,Jayanagar,unique,100.0,8,False
jayanti nagar,jayanti nagar,Jayanti Nagar,unique,100.0,3,False
jaymahal road,jaymahal road,Jaymahal Road,unique,100.0,1,False
jeevan bima nagar,jeevan bima nagar,Jeevan bima nagar,unique,100.0,7,False
jeevanhalli,jeevanhalli,Jeevanhalli,unique,100.0,1,False
jigani,jigani,Jigani,unique,100.0,53,False
jinkethimmanahalli,jinkethimmanahalli,Jinkethimmanahalli,unique,100.0,3,False
jnana ganga nagar,jnana ganga nagar,Jnana Ganga Nagar,unique,100.0,3,False
jnanabharathi layout,jnanabharathi layout,Jnanabharathi Layout,unique,100.0,4,False
jogupalya,jogupalya,Jogupalya,unique,100.0,1,False
judicial layout,judicial layout,Judicial Layout,unique,100.0,16,False
judicial layout kanakapura road,judicial layout kanakapura road,"Judicial Layout, Kanakapura Road,",unique,100.0,4,False
junnasandra,junnasandra,Junnasandra,unique,100.0,1,False
jyothi nagar,jyothi nagar,Jyothi Nagar,unique,100.0,2,False
k g colony,k g colony,K G Colony,unique,100.0,1,False
k n extension,k n extension,K N Extension,unique,100.0,1,False
k r c kothanur,k r c kothanur,K R C kothanur,unique,100.0,1,False
kamakiya,kamakiya,KAMAKIYA,unique,100.0,1,False
keb colony,keb colony,KEB Colony,unique,100.0,2,False
kg halli,kg halli,KG Halli,unique,100.0,1,False
khb colony extension,khb colony extension,KHB Colony Extension,unique,100.0,1,False
kpc layout,kpc layout,KPC Layout,unique,100.0,1,False
kr garden,kr garden,KR Garden,unique,100.0,5,False
kr layout,kr layout,KR Layout,unique,100.0,3,False
kr puram,kr puram,KR Puram,unique,100.0,91,False
ksrtc layout,ksrtc layout,KSRTC Layout,unique,100.0,3,False
kudlu main road,kudlu main road,KUDLU MAIN ROAD,unique,100.0,4,False
kachanayakanahalli,kachanayakanahalli,Kachanayakanahalli,unique,100.0,3,False
kacharakanahalli,kacharakanahalli,Kacharakanahalli,unique,100.0,5,False
kada agrahara,kada agrahara,Kada Agrahara,unique,100.0,5,False
kadabagere,kadabagere,Kadabagere,unique,100.0,5,False
kadarenahalli,kadarenahalli,Kadarenahalli,unique,100.0,2,False
kadubeesanahalli,kadubeesanahalli,Kadubeesanahalli,unique,100.0,13,False
kadugodi,kadugodi,Kadugodi,unique,100.0,40,False
kadugondanahalli,kadugondanahalli,Kadugondanahalli,unique,100.0,5,False
kaggadasapura,kaggadasapura,Kaggadasapura,unique,100.0,64,False
kaggalipura,kaggalipura,Kaggalipura,unique,100.0,19,False
kaikondrahalli,kaikondrahalli,Kaikondrahalli,unique,100.0,17,False
kalasipalya,kalasipalya,Kalasipalya,unique,100.0,1,False
kalena agrahara,kalena agrahara,Kalena Agrahara,unique,100.0,33,False
kalhalli,kalhalli,Kalhalli,unique,100.0,1,False
kalkere,kalkere,Kalkere,unique,100.0,10,False
kalkere channasandra,kalkere channasandra,Kalkere Channasandra,unique,100.0,1,False
kallumantapa,kallumantapa,Kallumantapa,unique,100.0,5,False
kalyan nagar,kalyan nagar,Kalyan nagar,unique,100.0,19,False
kamakshipalya,kamakshipalya,Kamakshipalya,unique,100.0,9,False
kamakya layout,kamakya layout,Kamakya Layout,unique,100.0,3,False
kamala nagar,kamala nagar,Kamala Nagar,unique,100.0,4,False
kambipura,kambipura,Kambipura,unique,100.0,16,False
kamdhenu nagar,kamdhenu nagar,Kamdhenu Nagar,unique,100.0,1,False
kammagondahalli,kammagondahalli,Kammagondahalli,unique,100.0,4,False
kammanahalli,kammanahalli,Kammanahalli,unique,100.0,17,False
kammasandra,kammasandra,Kammasandra,unique,100.0,29,False
kanaka nagar,kanaka nagar,Kanaka Nagar,unique,100.0,8,False
kanakadasa layout,kanakadasa layout,Kanakadasa Layout,unique,100.0,1,False
kanakapur main road,kanakapur main road,Kanakapur main road,unique,100.0,1,False
kanakapura,kanakapura,Kanakapura,unique,100.0,39,False
kanakapura rod,kanakapura rod,Kanakapura  Rod,unique,100.0,1,False
kanakpura road,kanakpura road,Kanakpura Road,unique,100.0,249,False
kannamangala,kannamangala,Kannamangala,unique,100.0,18,False
kannur,kannur,Kannur,unique,100.0,2,False
kariyammana agrahara,kariyammana agrahara,Kariyammana Agrahara,unique,100.0,2,False
karnataka shabarimala,karnataka shabarimala,Karnataka Shabarimala,unique,100.0,1,False
karuna nagar,karuna nagar,Karuna Nagar,unique,100.0,12,False
kasavanhalli,kasavanhalli,Kasavanhalli,unique,100.0,79,False
kashi nagar,kashi nagar,Kashi Nagar,unique,100.0,3,False
kasthuri nagar east of ngef,kasthuri nagar east of ngef,Kasthuri Nagar East Of NGEF,unique,100.0,1,False
kasturi nagar,kasturi nagar,Kasturi Nagar,unique,100.0,16,False
kathreguppe,kathreguppe,Kathreguppe,unique,100.0,2,False
kathriguppe,kathriguppe,Kathriguppe,unique,100.0,19,False
kathriguppe iv phase,kathriguppe iv phase,Kathriguppe IV Phase,unique,100.0,1,False
kattigenahalli,kattigenahalli,Kattigenahalli,unique,100.0,8,False
kaval byrasandra,kaval byrasandra,Kaval Byrasandra,unique,100.0,22,False
kaverappa layout,kaverappa layout,Kaverappa Layout,unique,100.0,9,False
kaveri nagar,kaveri nagar,Kaveri Nagar,unique,100.0,3,False
kavika layout,kavika layout,Kavika Layout,unique,100.0,3,False
keerthi layout,keerthi layout,Keerthi Layout,unique,100.0,1,False
kempapura,kempapura,Kempapura,unique,100.0,2,False
kempegowda nagar,kempegowda nagar,Kempegowda Nagar,unique,100.0,2,False
kenchanehalli r r nagar,kenchanehalli r r nagar,Kenchanehalli R R Nagar,unique,100.0,1,False
kenchenahalli,kenchenahalli,Kenchenahalli,unique,100.0,16,False
kenchenhalli,kenchenhalli,Kenchenhalli,unique,100.0,3,False
kengeri,kengeri,Kengeri,unique,100.0,73,False
kengeri hobli,kengeri hobli,Kengeri Hobli,unique,100.0,3,False
kengeri satellite town,kengeri satellite town,Kengeri Satellite Town,unique,100.0,40,False
kengeri satellite town bda site,kengeri satellite town bda site,Kengeri Satellite Town ( BDA SITE),unique,100.0,1,False
kengeri satellite town khb apartment,kengeri satellite town khb apartment,Kengeri Satellite Town KHB Apartment,unique,100.0,1,False
kengeri satellite town stage ii,kengeri satellite town stage ii,Kengeri Satellite Town Stage II,unique,100.0,1,False
kereguddadahalli,kereguddadahalli,Kereguddadahalli,unique,100.0,16,False
keshava nagar,keshava nagar,Keshava Nagar,unique,100.0,7,False
kirloskar layout,kirloskar layout,Kirloskar Layout,unique,100.0,4,False
kirloskar layout basaveshwarnagar,kirloskar layout basaveshwarnagar,"Kirloskar layout, Basaveshwarnagar",unique,100.0,1,False
kithaganur,kithaganur,Kithaganur,unique,100.0,3,False
kodanda reddy layout,kodanda reddy layout,Kodanda Reddy Layout,unique,100.0,1,False
kodathi,kodathi,Kodathi,unique,100.0,4,False
kodbisanhalli,kodbisanhalli,Kodbisanhalli,unique,100.0,8,False
kodichikkanahalli,kodichikkanahalli,Kodichikkanahalli,unique,100.0,27,False
kodigehaali,kodigehaali,Kodigehaali,unique,100.0,13,False
kodigehalli,kodigehalli,Kodigehalli,unique,100.0,11,False
kodihalli,kodihalli,Kodihalli,unique,100.0,15,False
kodipalya,kodipalya,Kodipalya,unique,100.0,3,False
kogilu,kogilu,Kogilu,unique,100.0,20,False
konanakunte,konanakunte,Konanakunte,unique,100.0,13,False
konanakunte cross,konanakunte cross,Konanakunte Cross,unique,100.0,4,False
konappana agrahara,konappana agrahara,Konappana Agrahara,unique,100.0,1,False
konena agrahara,konena agrahara,Konena Agrahara,unique,100.0,3,False
koppa,koppa,Koppa,unique,100.0,2,False
koramangala,koramangala,Koramangala,unique,100.0,70,False
koramangala industrial layout,koramangala industrial layout,Koramangala Industrial Layout,unique,100.0,2,False
kothannur,kothannur,Kothannur,unique,100.0,26,False
kothanur,kothanur,Kothanur,unique,100.0,64,False
kothnoor dinne,kothnoor dinne,Kothnoor Dinne,unique,100.0,2,False
kothnur narayanapura,kothnur narayanapura,Kothnur Narayanapura,unique,100.0,3,False
krishna nagar,krishna nagar,Krishna Nagar,unique,100.0,2,False
krishna reddy layout,krishna reddy layout,Krishna Reddy Layout,unique,100.0,3,False
kudlu,kudlu,Kudlu,unique,100.0,26,False
kudlu gate,kudlu gate,Kudlu Gate,unique,100.0,37,False
kudlu village,kudlu village,"Kudlu Village,",unique,100.0,1,False
kullappa colony,kullappa colony,Kullappa Colony,unique,100.0,2,False
kumara park,kumara park,Kumara Park,unique,100.0,6,False
kumarapalli,kumarapalli,Kumarapalli,unique,100.0,4,False
kumaraswami layout,kumaraswami layout,Kumaraswami Layout,unique,100.0,30,False
kumbalgodu,kumbalgodu,Kumbalgodu,unique,100.0,2,False
kumbena agrahara,kumbena agrahara,Kumbena Agrahara,unique,100.0,3,False
kumbhena agrahara,kumbhena agrahara,Kumbhena Agrahara,unique,100.0,1,False
kundalahalli,kundalahalli,Kundalahalli,unique,100.0,46,False
kundalahalli colony,kundalahalli colony,Kundalahalli Colony,unique,100.0,7,False
kurubarahalli,kurubarahalli,Kurubarahalli,unique,100.0,5,False
kuvempu layout,kuvempu layout,Kuvempu Layout,unique,100.0,1,False
kuvempu nagar,kuvempu nagar,Kuvempu Nagar,unique,100.0,4,False
kyalasanahalli,kyalasanahalli,Kyalasanahalli,unique,100.0,2,False
lb shastri nagar,lb shastri nagar,LB Shastri Nagar,unique,100.0,11,False
lic colony,lic colony,LIC Colony,unique,100.0,1,False
laggere,laggere,Laggere,unique,100.0,12,False
lake city,lake city,Lake City,unique,100.0,4,False
lakkasandra,lakkasandra,Lakkasandra,unique,100.0,2,False
lakkasandra extension,lakkasandra extension,Lakkasandra Extension,unique,100.0,1,False
lakshmi layout,lakshmi layout,Lakshmi Layout,unique,100.0,4,False
lakshmiamma garden,lakshmiamma garden,Lakshmiamma Garden,unique,100.0,2,False
lakshminarayana pura,lakshminarayana pura,Lakshminarayana Pura,unique,100.0,36,False
lakshminarayanapura electronic city phase 2,lakshminarayanapura electronic city phase 2,"Lakshminarayanapura, Electronic City Phase 2",unique,100.0,1,False
lakshmipura,lakshmipura,Lakshmipura,unique,100.0,3,False
lakshmipura vidyaanyapura,lakshmipura vidyaanyapura,Lakshmipura Vidyaanyapura,unique,100.0,1,False
lal bahadur shastri nagar,lal bahadur shastri nagar,Lal Bahadur Shastri Nagar,unique,100.0,2,False
lalbagh road,lalbagh road,Lalbagh Road,unique,100.0,1,False
langford gardens,langford gardens,Langford Gardens,unique,100.0,2,False
langford town,langford town,Langford Town,unique,100.0,4,False
lavakusha nagar,lavakusha nagar,Lavakusha Nagar,unique,100.0,4,False
lavelle road,lavelle road,Lavelle Road,unique,100.0,5,False
laxmi sagar layout,laxmi sagar layout,Laxmi Sagar Layout,unique,100.0,4,False
laxminarayana layout,laxminarayana layout,Laxminarayana Layout,unique,100.0,1,False
lingadheeranahalli,lingadheeranahalli,Lingadheeranahalli,unique,100.0,23,False
lingarajapuram,lingarajapuram,Lingarajapuram,unique,100.0,9,False
lottegolla halli,lottegolla halli,Lottegolla Halli,unique,100.0,3,False
m c layout,m c layout,M C Layout,unique,100.0,1,False
m v extenstion,m v extenstion,M V Extenstion,unique,100.0,2,False
m g road,m g road,M.G Road,unique,100.0,1,False
mcechs layout,mcechs layout,MCECHS  layout,unique,100.0,4,False
mei layout bagalgunte,mei layout bagalgunte,"MEI layout, Bagalgunte",unique,100.0,1,False
mla layout,mla layout,MLA Layout,unique,100.0,2,False
mm layout,mm layout,MM Layout,unique,100.0,1,False
mrcr layout,mrcr layout,MRCR Layout,unique,100.0,1,False
ms pallya,ms pallya,MS Pallya,unique,100.0,8,False
madanayakahalli,madanayakahalli,Madanayakahalli,unique,100.0,1,False
madavara,madavara,Madavara,unique,100.0,2,False
madiwala,madiwala,Madiwala,unique,100.0,7,False
magadi road,magadi road,Magadi Road,unique,100.0,25,False
mahadevpura,mahadevpura,Mahadevpura,unique,100.0,30,False
mahaganapathy nagar,mahaganapathy nagar,Mahaganapathy Nagar,unique,100.0,2,False
mahalakshmi layout,mahalakshmi layout,Mahalakshmi Layout,unique,100.0,13,False
mahalakshmi puram,mahalakshmi puram,Mahalakshmi Puram,unique,100.0,8,False
maheswari nagar,maheswari nagar,Maheswari Nagar,unique,100.0,1,False
mailasandra,mailasandra,Mailasandra,unique,100.0,1,False
maithri layout,maithri layout,Maithri Layout,unique,100.0,5,False
makali,makali,Makali,unique,100.0,3,False
malimakanapura,malimakanapura,Malimakanapura,unique,100.0,1,False
mallappa layout,mallappa layout,Mallappa Layout,unique,100.0,1,False
mallasandra,mallasandra,Mallasandra,unique,100.0,16,False
mallathahalli,mallathahalli,Mallathahalli,unique,100.0,5,False
malleshpalya,malleshpalya,Malleshpalya,unique,100.0,17,False
malleshwaram,malleshwaram,Malleshwaram,unique,100.0,56,False
malur hosur road,malur hosur road,Malur Hosur Road,unique,100.0,1,False
manayata tech park,manayata tech park,Manayata Tech Park,unique,100.0,8,False
mangammanapalya,mangammanapalya,Mangammanapalya,unique,100.0,3,False
manganahalli,manganahalli,Manganahalli,unique,100.0,1,False
mango garden layout,mango garden layout,Mango Garden Layout,unique,100.0,1,False
manjunath nagar,manjunath nagar,Manjunath Nagar,unique,100.0,4,False
manjunatha layout,manjunatha layout,Manjunatha Layout,unique,100.0,2,False
manonarayanapalya,manonarayanapalya,Manonarayanapalya,unique,100.0,1,False
manorayana palya,manorayana palya,Manorayana Palya,unique,100.0,3,False
maragondana halli kr puram old madras road,maragondana halli kr puram old madras road,"Maragondana Halli, kr puram, old madras road",unique,100.0,1,False
maragondanahalli,maragondanahalli,Maragondanahalli,unique,100.0,6,False
marasandra,marasandra,Marasandra,unique,100.0,3,False
marathahalli,marathahalli,Marathahalli,unique,100.0,169,False
marathalli bridge,marathalli bridge,Marathalli bridge,unique,100.0,1,False
marathi layout,marathi layout,Marathi Layout,unique,100.0,1,False
marenahalli,marenahalli,Marenahalli,unique,100.0,2,False
margondanahalli,margondanahalli,Margondanahalli,unique,100.0,25,False
mariyannapalya,mariyannapalya,Mariyannapalya,unique,100.0,2,False
marsur,marsur,Marsur,unique,100.0,10,False
maruthi extension,maruthi extension,Maruthi Extension,unique,100.0,1,False
maruthi hbcs layout,maruthi hbcs layout,Maruthi HBCS Layout,unique,100.0,1,False
maruthi layout,maruthi layout,Maruthi Layout,unique,100.0,1,False
maruthi nagar,maruthi nagar,Maruthi Nagar,unique,100.0,5,False
maruthi sevanagar,maruthi sevanagar,Maruthi Sevanagar,unique,100.0,7,False
maruthi nagar kogilu,maruthi nagar kogilu,Maruthi nagar kogilu,unique,100.0,1,False
masjid e alkareem,masjid e alkareem,Masjid e Alkareem,unique,100.0,1,False
mathikere,mathikere,Mathikere,unique,100.0,9,False
mathikere extension,mathikere extension,Mathikere Extension,unique,100.0,3,False
mathikere sbm colony,mathikere sbm colony,Mathikere SBM colony,unique,100.0,1,False
medahalli,medahalli,Medahalli,unique,100.0,9,False
medaralli,medaralli,Medaralli,unique,100.0,1,False
medi agrahara,medi agrahara,Medi Agrahara,unique,100.0,1,False
meenakshi layout,meenakshi layout,Meenakshi Layout,unique,100.0,1,False
meenakunte,meenakunte,Meenakunte,unique,100.0,6,False
michael palaya,michael palaya,Michael Palaya,unique,100.0,1,False
mico layout,mico layout,Mico Layout,unique,100.0,12,False
milk colony,milk colony,Milk Colony,unique,100.0,1,False
millers road,millers road,Millers Road,unique,100.0,1,False
moodalapalya,moodalapalya,Moodalapalya,unique,100.0,4,False
motappa layout,motappa layout,Motappa Layout,unique,100.0,6,False
mudalpalaya,mudalpalaya,Mudalpalaya,unique,100.0,1,False
mukkutam nagar,mukkutam nagar,Mukkutam Nagar,unique,100.0,1,False
mullur,mullur,Mullur,unique,100.0,1,False
muneshwara nagar,muneshwara nagar,Muneshwara Nagar,unique,100.0,2,False
munivenkatppa layout,munivenkatppa layout,Munivenkatppa Layout,unique,100.0,5,False
munnekollal,munnekollal,Munnekollal,unique,100.0,24,False
murugeshpalya,murugeshpalya,Murugeshpalya,unique,100.0,14,False
muthurayya swamy layout,muthurayya swamy layout,Muthurayya Swamy Layout,unique,100.0,2,False
muthyala nagar,muthyala nagar,Muthyala Nagar,unique,100.0,1,False
mylasandra,mylasandra,Mylasandra,unique,100.0,4,False
mysore highway,mysore highway,Mysore Highway,unique,100.0,4,False
mysore road,mysore road,Mysore Road,unique,100.0,50,False
n r layout,n r layout,N R Layout,unique,100.0,1,False
ngr layout,ngr layout,NGR Layout,unique,100.0,13,False
nr colony,nr colony,NR Colony,unique,100.0,1,False
nri layout,nri layout,NRI Layout,unique,100.0,14,False
ns palya,ns palya,NS Palya,unique,100.0,4,False
nti layout,nti layout,NTI Layout,unique,100.0,1,False
nagadevanahalli,nagadevanahalli,Nagadevanahalli,unique,100.0,10,False
naganathapura,naganathapura,Naganathapura,unique,100.0,10,False
nagappa reddy layout,nagappa reddy layout,Nagappa Reddy Layout,unique,100.0,10,False
nagaraja garden,nagaraja garden,Nagaraja Garden,unique,100.0,4,False
nagarbhavi,nagarbhavi,Nagarbhavi,unique,100.0,60,False
nagarbhavi bda complex,nagarbhavi bda complex,Nagarbhavi  BDA Complex,unique,100.0,1,False
nagarbhavi garden villas layout,nagarbhavi garden villas layout,Nagarbhavi Garden Villas Layout,unique,100.0,1,False
nagasandra,nagasandra,Nagasandra,unique,100.0,12,False
nagashetty halli,nagashetty halli,Nagashetty Halli,unique,100.0,5,False
nagavara,nagavara,Nagavara,unique,100.0,17,False
nagavarapalya,nagavarapalya,Nagavarapalya,unique,100.0,15,False
nagawara junction,nagawara junction,Nagawara Junction,unique,100.0,6,False
nagondanahalli,nagondanahalli,Nagondanahalli,unique,100.0,5,False
naidu layout,naidu layout,Naidu Layout,unique,100.0,2,False
nallurhalli,nallurhalli,Nallurhalli,unique,100.0,8,False
nandi durga road,nandi durga road,Nandi Durga Road,unique,100.0,2,False
nandi hills,nandi hills,Nandi Hills,unique,100.0,2,False
nandini layout,nandini layout,Nandini Layout,unique,100.0,3,False
nanjappa garden,nanjappa garden,Nanjappa Garden,unique,100.0,2,False
nanjappa layout,nanjappa layout,Nanjappa Layout,unique,100.0,3,False
nanjappa layout vidyaranyapura,nanjappa layout vidyaranyapura,Nanjappa Layout Vidyaranyapura,unique,100.0,1,False
narasapura,narasapura,Narasapura,unique,100.0,1,False
narayana nagar 1st block,narayana nagar 1st block,Narayana Nagar 1st Block,unique,100.0,3,False
narayanappa garden,narayanappa garden,Narayanappa Garden,unique,100.0,1,False
narayanappa layout,narayanappa layout,Narayanappa Layout,unique,100.0,1,False
narayanapura,narayanapura,Narayanapura,unique,100.0,10,False
navodaya nagar,navodaya nagar,Navodaya Nagar,unique,100.0,1,False
nayandanahalli,nayandanahalli,Nayandanahalli,unique,100.0,6,False
ncpr industrial layout,ncpr industrial layout,Ncpr Industrial Layout,unique,100.0,1,False
near electronic city,near electronic city,"Near Electronic City,",unique,100.0,1,False
near international airport,near international airport,Near International Airport,unique,100.0,2,False
near ullas theater,near ullas theater,Near ullas theater,unique,100.0,1,False
neeladri nagar,neeladri nagar,Neeladri Nagar,unique,100.0,13,False
neelamangala,neelamangala,Neelamangala,unique,100.0,2,False
neelasandra,neelasandra,Neelasandra,unique,100.0,1,False
nehru nagar,nehru nagar,Nehru Nagar,unique,100.0,11,False
nelamangala,nelamangala,Nelamangala,unique,100.0,8,False
new gurappana palya,new gurappana palya,New Gurappana Palya,unique,100.0,5,False
new thippasandra,new thippasandra,New Thippasandra,unique,100.0,6,False
ngef layout,ngef layout,Ngef Layout,unique,100.0,4,False
nirman layout,nirman layout,Nirman Layout,unique,100.0,1,False
nobo nagar,nobo nagar,Nobo Nagar,unique,100.0,3,False
nrupathunga nagar,nrupathunga nagar,Nrupathunga Nagar,unique,100.0,1,False
nyanappana halli,nyanappana halli,Nyanappana Halli,unique,100.0,4,False
old gurappanapalya,old gurappanapalya,OLd Gurappanapalya,unique,100.0,4,False
ombr layout,ombr layout,OMBR Layout,unique,100.0,19,False
off bannergatta road,off bannergatta road,Off Bannergatta road,unique,100.0,2,False
off sarjapur road,off sarjapur road,"Off Sarjapur Road,",unique,100.0,6,False
okalipura,okalipura,Okalipura,unique,100.0,1,False
old airport road,old airport road,Old Airport Road,unique,100.0,29,False
old madras road,old madras road,Old Madras Road,unique,100.0,67,False
old mangammanapalya road,old mangammanapalya road,Old Mangammanapalya Road,unique,100.0,1,False
old town,old town,Old Town,unique,100.0,1,False
omarbagh layout,omarbagh layout,Omarbagh Layout,unique,100.0,2,False
omkar nagar,omkar nagar,Omkar Nagar,unique,100.0,2,False
outer ring road east,outer ring road east,Outer Ring Road East,unique,100.0,7,False
p krishnappa layout,p krishnappa layout,P Krishnappa Layout,unique,100.0,1,False
p t colony,p t colony,P&T Colony,unique,100.0,1,False
p t layout,p t layout,P&T Layout,unique,100.0,3,False
pc palaya,pc palaya,PC Palaya,unique,100.0,1,False
pns layout,pns layout,PNS Layout,unique,100.0,1,False
padmanabhanagar,padmanabhanagar,Padmanabhanagar,unique,100.0,28,False
pai layout,pai layout,Pai Layout,unique,100.0,19,False
pai layout mahadevapura,pai layout mahadevapura,"Pai layout , Mahadevapura",unique,100.0,1,False
palace guttahalli,palace guttahalli,Palace Guttahalli,unique,100.0,4,False
palace road,palace road,Palace Road,unique,100.0,2,False
palanahalli,palanahalli,Palanahalli,unique,100.0,3,False
pampa extension,pampa extension,Pampa Extension,unique,100.0,3,False
panathur,panathur,Panathur,unique,100.0,49,False
panathur road,panathur road,"Panathur Road,",unique,100.0,1,False
panduranga nagar,panduranga nagar,Panduranga Nagar,unique,100.0,2,False
papareddipalya,papareddipalya,Papareddipalya,unique,100.0,1,False
parappana agrahara,parappana agrahara,Parappana Agrahara,unique,100.0,7,False
park view layout,park view layout,Park View Layout,unique,100.0,1,False
patelappa layout,patelappa layout,Patelappa Layout,unique,100.0,2,False
pattanagere,pattanagere,Pattanagere,unique,100.0,4,False
pattandur agrahara,pattandur agrahara,Pattandur Agrahara,unique,100.0,10,False
pattegarhpalya,pattegarhpalya,Pattegarhpalya,unique,100.0,1,False
peenya,peenya,Peenya,unique,100.0,9,False
phase 1 kammasandra,phase 1 kammasandra,Phase 1 Kammasandra,unique,100.0,2,False
pillahalli,pillahalli,Pillahalli,unique,100.0,1,False
pillanna gardens,pillanna gardens,Pillanna Gardens,unique,100.0,1,False
poorna pragna layout,poorna pragna layout,Poorna Pragna Layout,unique,100.0,13,False
poornapragna housing society layout,poornapragna housing society layout,Poornapragna Housing Society Layout,unique,100.0,4,False
popular colony,popular colony,Popular Colony,unique,100.0,1,False
postal colony,postal colony,Postal Colony,unique,100.0,2,False
pragathi nagar,pragathi nagar,Pragathi Nagar,unique,100.0,4,False
prakash nagar,prakash nagar,Prakash Nagar,unique,100.0,1,False
prakruthi nagar,prakruthi nagar,Prakruthi Nagar,unique,100.0,1,False
prakruthi township,prakruthi township,Prakruthi Township,unique,100.0,1,False
prasanna layout herohalli,prasanna layout herohalli,Prasanna layout Herohalli,unique,100.0,1,False
prasanth extension,prasanth extension,Prasanth Extension,unique,100.0,1,False
prasanti nagar,prasanti nagar,Prasanti Nagar,unique,100.0,1,False
prashanth nagar,prashanth nagar,Prashanth Nagar,unique,100.0,3,False
prestige sunrise,prestige sunrise,Prestige Sunrise,unique,100.0,1,False
prithvi layout,prithvi layout,Prithvi Layout,unique,100.0,13,False
pulikeshi nagar,pulikeshi nagar,Pulikeshi Nagar,unique,100.0,1,False
pulkeshi nagar,pulkeshi nagar,Pulkeshi Nagar,unique,100.0,2,False
punappa layout,punappa layout,Punappa Layout,unique,100.0,1,False
puttanahalli,puttanahalli,Puttanahalli,unique,100.0,4,False
puttappa layout,puttappa layout,Puttappa Layout,unique,100.0,1,False
queens road,queens road,Queens Road,unique,100.0,1,False
r t nagar,r t nagar,R.T. Nagar,unique,100.0,36,False
rbi layout,rbi layout,RBI Layout,unique,100.0,1,False
rk colony,rk colony,RK Colony,unique,100.0,1,False
rk layout 2nd stage,rk layout 2nd stage,RK Layout 2nd Stage,unique,100.0,1,False
rmc yard,rmc yard,RMC YARD,unique,100.0,1,False
rmv,rmv,RMV,unique,100.0,3,False
rmv 2nd stage,rmv 2nd stage,RMV 2nd Stage,unique,100.0,7,False
rmv extension,rmv extension,RMV Extension,unique,100.0,5,False
rmv extension stage 2,rmv extension stage 2,RMV Extension Stage 2,unique,100.0,2,False
rmv extension stage 2 rmv extension,rmv extension stage 2 rmv extension,"RMV extension stage 2, rmv extension",unique,100.0,1,False
rpc layout,rpc layout,RPC layout,unique,100.0,3,False
rr layout,rr layout,RR Layout,unique,100.0,2,False
rto ullalu,rto ullalu,RTO ullalu,unique,100.0,1,False
rwf west colony,rwf west colony,RWF West Colony,unique,100.0,4,False
race course road,race course road,Race Course Road,unique,100.0,2,False
rachenahalli,rachenahalli,Rachenahalli,unique,100.0,48,False
raghavendra layout,raghavendra layout,Raghavendra Layout,unique,100.0,2,False
raghavendra nagar,raghavendra nagar,Raghavendra Nagar,unique,100.0,3,False
raghuvanahalli,raghuvanahalli,Raghuvanahalli,unique,100.0,5,False
rahat bagh,rahat bagh,Rahat Bagh,unique,100.0,1,False
rahmath nagar,rahmath nagar,Rahmath Nagar,unique,100.0,1,False
rainbow drive,rainbow drive,Rainbow Drive,unique,100.0,1,False
raja rajashweri nagar,raja rajashweri nagar,Raja Rajashweri Nagar,unique,100.0,1,False
raja rajeshwari nagar,raja rajeshwari nagar,Raja Rajeshwari Nagar,unique,100.0,159,False
rajarajeshwari nagar,raja rajeshwari nagar,Raja Rajeshwari Nagar,whitespace_normalization,100.0,3,False
rajarajeshwarinagar,raja rajeshwari nagar,Raja Rajeshwari Nagar,whitespace_normalization,100.0,2,False
raja rajeshwari nagar 5th stage,raja rajeshwari nagar 5th stage,Raja Rajeshwari Nagar 5th Stage,unique,100.0,4,False
rajagopala nagar,rajagopala nagar,Rajagopala Nagar,unique,100.0,1,False
rajaji nagar,rajaji nagar,Rajaji Nagar,unique,100.0,107,False
rajankunte,rajankunte,Rajankunte,unique,100.0,3,False
rajanna layout,rajanna layout,Rajanna Layout,unique,100.0,1,False
rajapura,rajapura,Rajapura,unique,100.0,2,False
rajarajesheari nagar,rajarajesheari nagar,Rajarajesheari nagar,unique,100.0,1,False
rajarajeshwari nagara,rajarajeshwari nagara,Rajarajeshwari Nagara,unique,100.0,3,False
raja rajeshwari nagara,rajarajeshwari nagara,Rajarajeshwari Nagara,whitespace_normalization,100.0,1,False
rajasree layout,rajasree layout,Rajasree Layout,unique,100.0,2,False
rajiv gandhi nagar,rajiv gandhi nagar,Rajiv Gandhi Nagar,unique,100.0,5,False
rajiv nagar,rajiv nagar,Rajiv Nagar,unique,100.0,12,False
ramagondanahalli,ramagondanahalli,Ramagondanahalli,unique,100.0,47,False
ramakrishnappa layout,ramakrishnappa layout,Ramakrishnappa Layout,unique,100.0,7,False
ramamohanapuram,ramamohanapuram,Ramamohanapuram,unique,100.0,1,False
ramamurthy nagar,ramamurthy nagar,Ramamurthy Nagar,unique,100.0,72,False
ramamurthy nagar extension,ramamurthy nagar extension,Ramamurthy Nagar Extension,unique,100.0,4,False
ramanagara channapatna,ramanagara channapatna,Ramanagara Channapatna,unique,100.0,1,False
