Locality,Listings,Median Price (Lakhs INR),Median Rs per sqft,Tier
Vignana Nagar,9,58.0,5225.225225225226,Insufficient data (<10 listings)
Hongasandra,8,47.0,5218.670076726343,Insufficient data (<10 listings)
RMV Extension,5,85.0,5214.7239263803685,Insufficient data (<10 listings)
Hanuman Nagar,1,108.0,5212.355212355213,Insufficient data (<10 listings)
Mallasandra,16,70.0,5209.909909909909,Tier 2 - Mid-market
KSRTC Layout,3,62.5,5208.333333333333,Insufficient data (<10 listings)
Naganathapura,10,65.0,5205.36134252484,Tier 2 - Mid-market
NRI Layout,14,85.0,5204.166666666666,Tier 2 - Mid-market
Seetharampalya,8,73.0,5202.342047930284,Insufficient data (<10 listings)
Rukmaiah Layout,1,86.06,5200.0,Insufficient data (<10 listings)
Dasanapura,16,43.1,5192.846930135065,Tier 2 - Mid-market
Kadugodi,40,80.0,5190.191805009183,Tier 2 - Mid-market
Vittasandra,35,67.5,5181.818181818182,Tier 2 - Mid-market
Vinayak Nagar,3,36.5,5177.304964539007,Insufficient data (<10 listings)
Neelamangala,2,56.5,5173.473774720551,Insufficient data (<10 listings)
Brindavan Layout,2,94.34,5167.272727272727,Insufficient data (<10 listings)
Kannur,2,65.0,5161.271808999081,Insufficient data (<10 listings)
Magadi Road,25,55.38,5159.332321699545,Tier 2 - Mid-market
Akshayanagara West,2,67.5,5149.201024101703,Insufficient data (<10 listings)
Kattigenahalli,8,120.0,5148.809523809524,Insufficient data (<10 listings)
Jalahalli West,8,43.5,5145.245202558635,Insufficient data (<10 listings)
Nanjappa Layout,3,85.0,5144.9953227315245,Insufficient data (<10 listings)
Akshaya Nagar,61,80.0,5144.46793516561,Tier 2 - Mid-market
Amruthahalli,24,61.5,5138.89189013981,Tier 2 - Mid-market
Herohalli,4,75.0,5138.888888888889,Insufficient data (<10 listings)
KPC Layout,1,62.0,5123.966942148761,Insufficient data (<10 listings)
Virupakshapura,3,55.0,5116.279069767442,Insufficient data (<10 listings)
Doddabommasandra,6,80.0,5114.087301587302,Insufficient data (<10 listings)
Roopena Agrahara,8,51.705,5111.357229158277,Insufficient data (<10 listings)
Chennammana Kere,9,58.4,5100.436681222707,Insufficient data (<10 listings)
CV Raman Nagar,42,60.5,5099.2763373213575,Tier 2 - Mid-market
Kaval Byrasandra,22,52.0,5091.39248919907,Tier 2 - Mid-market
Hosahalli,1,70.0,5090.909090909091,Insufficient data (<10 listings)
Banashankari Stage VI,16,90.0,5088.114063987115,Tier 2 - Mid-market
Howthinarayanappa Garden,1,52.0,5088.062622309198,Insufficient data (<10 listings)
Dasarahalli,17,70.0,5081.9672131147545,Tier 2 - Mid-market
Doddakannelli,6,72.5,5081.073637584201,Insufficient data (<10 listings)
1Hoysalanagar,1,275.0,5069.124423963133,Insufficient data (<10 listings)
Singanayakanahalli,3,65.0,5067.5675675675675,Insufficient data (<10 listings)
Basaveshwara Nagar Yelahanka,7,95.0,5059.523809523809,Insufficient data (<10 listings)
Raja Rajeshwari Nagar 5th Stage,4,53.5,5056.996855345911,Insufficient data (<10 listings)
Yelahanka,208,69.6,5056.151813243283,Tier 2 - Mid-market
Murugeshpalya,14,78.0,5053.725739413729,Tier 2 - Mid-market
Varanasi,6,80.5,5050.0,Insufficient data (<10 listings)
Kanakpura Road,247,64.23,5046.0317460317465,Tier 2 - Mid-market
"Off Sarjapur Road,",6,82.5,5044.765086152552,Insufficient data (<10 listings)
kanakapura road,3,95.0,5042.462845010616,Insufficient data (<10 listings)
Reliaable Tranquil Layout,8,70.0,5039.787798408488,Insufficient data (<10 listings)
5th Phase JP Nagar,37,65.0,5034.482758620689,Tier 2 - Mid-market
Choodasandra,21,63.0,5032.679738562091,Tier 2 - Mid-market
Devanahalli,43,65.0,5032.258064516129,Tier 2 - Mid-market
Immadihalli,4,58.0,5029.493018741134,Insufficient data (<10 listings)
Kallumantapa,5,53.0,5028.462998102466,Insufficient data (<10 listings)
Battarahalli,24,75.0,5028.12421513401,Tier 2 - Mid-market
Kullappa Colony,2,62.5,5026.134625191229,Insufficient data (<10 listings)
Mysore Road,48,64.155,5018.019665617401,Tier 2 - Mid-market
Subash Nagar,2,50.0,5012.077294685991,Insufficient data (<10 listings)
Nagavara,17,58.56,5008.01282051282,Tier 2 - Mid-market
Byrasandra,7,56.0,5000.0,Insufficient data (<10 listings)
Rammana Layout,1,100.0,5000.0,Insufficient data (<10 listings)
Vayunandana Layout,1,120.0,5000.0,Insufficient data (<10 listings)
Mallappa Layout,1,75.0,5000.0,Insufficient data (<10 listings)
Amruthnagar,5,60.0,5000.0,Insufficient data (<10 listings)
Kariyammana Agrahara,2,90.0,5000.0,Insufficient data (<10 listings)
Kengeri Hobli,3,42.0,5000.0,Insufficient data (<10 listings)
Kalena Agrahara,33,70.0,5000.0,Tier 2 - Mid-market
Amco Colony,1,88.0,5000.0,Insufficient data (<10 listings)
3rd Block HBR Layout,1,100.0,5000.0,Insufficient data (<10 listings)
Kodigehaali,13,60.0,5000.0,Tier 2 - Mid-market
3rd Stage Raja Rajeshwari Nagar,1,65.0,5000.0,Insufficient data (<10 listings)
Seegehalli,25,72.0,5000.0,Tier 2 - Mid-market
Budigere,47,60.0,4991.394148020654,Tier 2 - Mid-market
Sidedahalli,8,51.15,4988.888888888889,Insufficient data (<10 listings)
Basava Nagar,3,60.1,4982.20640569395,Insufficient data (<10 listings)
Rachenahalli,48,52.605000000000004,4980.952380952381,Tier 3 - Value
Konanakunte Cross,4,88.5,4977.693697763722,Insufficient data (<10 listings)
Nehru Nagar,11,81.0,4964.5390070921985,Tier 3 - Value
Mahaganapathy Nagar,2,70.0,4964.5390070921985,Insufficient data (<10 listings)
RWF West Colony,4,66.14,4952.697967764541,Insufficient data (<10 listings)
Bank Avenue,1,99.0,4950.0,Insufficient data (<10 listings)
Green Woods Layout,2,59.5,4947.346600331675,Insufficient data (<10 listings)
Bharathi Nagar,12,68.5,4946.162492921678,Tier 3 - Value
9th Phase JP Nagar,43,69.0,4943.820224719101,Tier 3 - Value
Akash Nagar,1,47.8,4943.1230610134435,Insufficient data (<10 listings)
Chikkanahalli,1,52.0,4942.9657794676805,Insufficient data (<10 listings)
Seethappa Layout,1,42.0,4941.176470588235,Insufficient data (<10 listings)
Sonnenahalli,22,52.765,4940.4171303165185,Tier 3 - Value
Kothanur,64,70.5,4933.123591684027,Tier 3 - Value
Aishwarya Crystal Layout,2,82.0,4932.763532763533,Insufficient data (<10 listings)
Maragondanahalli,6,63.5,4931.983757857636,Insufficient data (<10 listings)
Doddanakundi Industrial Area 2,6,75.005,4930.241327300151,Insufficient data (<10 listings)
Kacharakanahalli,5,60.0,4928.571428571428,Insufficient data (<10 listings)
Omkar Nagar,2,67.5,4927.777777777777,Insufficient data (<10 listings)
Kalkere,10,52.5,4921.534437663469,Tier 3 - Value
Doddagubbi,4,54.5,4918.340026773762,Insufficient data (<10 listings)
Chikbasavanapura,1,60.0,4918.0327868852455,Insufficient data (<10 listings)
Doddabidrakallu,2,53.5,4916.666666666667,Insufficient data (<10 listings)
Hoskote near,1,29.5,4916.666666666667,Insufficient data (<10 listings)
Bidrahalli,2,53.5,4916.666666666666,Insufficient data (<10 listings)
kadubisnahalli,1,57.0,4913.793103448276,Insufficient data (<10 listings)
Hiremath Layout,5,92.0,4912.2807017543855,Insufficient data (<10 listings)
Mallathahalli,5,60.0,4897.959183673469,Insufficient data (<10 listings)
Pattandur Agrahara,10,61.075,4897.75461106656,Tier 3 - Value
Sampigehalli,2,68.0,4897.194304857621,Insufficient data (<10 listings)
Ring Road Nagarbhavi,1,235.0,4895.833333333333,Insufficient data (<10 listings)
Munnekollal,24,69.0,4890.703359642383,Tier 3 - Value
Vasantha Vallabha Nagar,5,76.0,4888.888888888889,Insufficient data (<10 listings)
Atmananda Colony,3,55.0,4880.212954747116,Insufficient data (<10 listings)
Nyanappana Halli,4,53.5,4872.127501853225,Insufficient data (<10 listings)
"Judicial Layout, Kanakapura Road,",4,47.0,4870.629370629371,Insufficient data (<10 listings)
manyata tech park,1,56.0,4869.565217391304,Insufficient data (<10 listings)
Vadarpalya,3,85.0,4857.142857142857,Insufficient data (<10 listings)
Vinayaka Nagar,5,65.0,4850.746268656716,Insufficient data (<10 listings)
Kanakapura,39,51.1,4850.746268656716,Tier 3 - Value
"Hoodi Circle,",7,59.9,4849.600982197668,Insufficient data (<10 listings)
Ashirvad Colony,6,55.0,4848.115299334811,Insufficient data (<10 listings)
Pillahalli,1,92.0,4842.105263157895,Insufficient data (<10 listings)
AECS Layout,12,62.0,4839.874277947672,Tier 3 - Value
Prakruthi Nagar,1,60.0,4838.709677419355,Insufficient data (<10 listings)
GB Palya,1,45.0,4838.709677419355,Insufficient data (<10 listings)
AGB Layout,1,145.0,4833.333333333333,Insufficient data (<10 listings)
Anandapura,27,55.0,4833.333333333333,Tier 3 - Value
1st Stage Domlur,1,65.0,4814.814814814815,Insufficient data (<10 listings)
Arehalli,3,65.0,4814.814814814815,Insufficient data (<10 listings)
Anantapura,3,77.0,4812.5,Insufficient data (<10 listings)
B Narayanapura,9,60.0,4803.921568627451,Insufficient data (<10 listings)
Austin Town,7,60.0,4800.0,Insufficient data (<10 listings)
Sarvabhouma Nagar,3,42.0,4800.0,Insufficient data (<10 listings)
Doddabele,1,36.0,4800.0,Insufficient data (<10 listings)
Jaladarsini Layout,1,48.0,4800.0,Insufficient data (<10 listings)
Yelahanka New Town,41,50.0,4800.0,Tier 3 - Value
Crimson Layout,3,60.0,4800.0,Insufficient data (<10 listings)
Begur,16,64.0,4798.920147021413,Tier 3 - Value
Anugrah Layout,2,70.0,4790.810465858328,Insufficient data (<10 listings)
Hormavu,73,58.0,4782.608695652174,Tier 3 - Value
Electronics City Phase 1,88,53.5,4780.37493150808,Tier 3 - Value
Narayana Nagar 1st Block,3,65.0,4779.411764705882,Insufficient data (<10 listings)
KEB Colony,2,63.42,4771.153846153847,Insufficient data (<10 listings)
rr nagar,2,47.0,4766.3139329806,Insufficient data (<10 listings)
Rajarajeshwari Nagara,4,83.0,4760.0032530904355,Insufficient data (<10 listings)
Vishwapriya Layout,12,66.5,4750.578368999422,Tier 3 - Value
Gattahalli,3,63.0,4750.0,Insufficient data (<10 listings)
Chelekare,6,60.0,4746.0,Insufficient data (<10 listings)
Narayanappa Garden,1,70.0,4745.762711864407,Insufficient data (<10 listings)
Hallehalli,2,59.0,4742.630385487529,Insufficient data (<10 listings)
Veerannapalya,3,57.0,4736.8421052631575,Insufficient data (<10 listings)
Panduranga Nagar,2,60.0,4736.726874657909,Insufficient data (<10 listings)
Singasandra,25,58.0,4731.6384180790965,Tier 3 - Value
manyata park,2,73.41,4727.418875044621,Insufficient data (<10 listings)
Baba Nagar,3,52.0,4727.272727272727,Insufficient data (<10 listings)
Upadhyaya Layout,2,53.5,4715.960510078157,Insufficient data (<10 listings)
P&T Colony,1,20.03,4712.941176470588,Insufficient data (<10 listings)
mvj engineering college,1,56.53,4710.833333333333,Insufficient data (<10 listings)
Hessarghatta,7,50.0,4708.097928436911,Insufficient data (<10 listings)
"JP nagar 9th Phase,",1,72.0,4702.808621815807,Insufficient data (<10 listings)
Mahadevpura,30,64.25,4695.644696395761,Tier 3 - Value
Govindraja Nagar,1,50.0,4694.835680751174,Insufficient data (<10 listings)
Govindpura,5,75.0,4688.536953242836,Insufficient data (<10 listings)
"Near Electronic City,",1,150.0,4687.5,Insufficient data (<10 listings)
Manorayana Palya,3,75.0,4687.5,Insufficient data (<10 listings)
Virat Nagar,5,52.0,4684.684684684685,Insufficient data (<10 listings)
ITPL,12,56.12,4676.666666666667,Tier 3 - Value
Thomas Town,2,59.5,4667.692307692308,Insufficient data (<10 listings)
Tavarekere,4,81.0,4666.666666666667,Insufficient data (<10 listings)
Puttanahalli,4,58.5,4657.736187668248,Insufficient data (<10 listings)
Ckikkakammana Halli,1,42.0,4656.319290465632,Insufficient data (<10 listings)
Rajapura,2,45.0,4642.599859466018,Insufficient data (<10 listings)
T K Reddy Layout,1,75.0,4641.089108910891,Insufficient data (<10 listings)
Jagajyothi layout,1,58.0,4640.0,Insufficient data (<10 listings)
Ramanashree Enclave,2,53.75,4638.850889192887,Insufficient data (<10 listings)
Kodichikkanahalli,27,57.0,4629.62962962963,Tier 3 - Value
Marasandra,3,85.0,4619.565217391304,Insufficient data (<10 listings)
Lavakusha Nagar,4,68.5,4616.415936556063,Insufficient data (<10 listings)
Lottegolla Halli,3,90.0,4615.384615384615,Insufficient data (<10 listings)
Thippasandra,3,30.0,4615.384615384615,Insufficient data (<10 listings)
Dodda Banaswadi,5,60.0,4615.384615384615,Insufficient data (<10 listings)
elachenahalli,1,58.0,4610.492845786964,Insufficient data (<10 listings)
Janatha Colony,2,57.415,4606.715522142902,Insufficient data (<10 listings)
Bileshivale,6,210.0,4606.481481481482,Insufficient data (<10 listings)
Singapura Village,6,45.0,4603.851588256843,Insufficient data (<10 listings)
Belatur,3,58.0,4603.174603174603,Insufficient data (<10 listings)
Hennur,49,57.0,4600.109259765091,Tier 3 - Value
Veer Sandra,4,63.5,4600.0,Insufficient data (<10 listings)
Kamdhenu Nagar,1,46.0,4600.0,Insufficient data (<10 listings)
Mariyannapalya,2,46.0,4600.0,Insufficient data (<10 listings)
Basavanapura,8,65.0,4592.4408014571945,Insufficient data (<10 listings)
Garudachar Palya,17,52.8,4590.909090909091,Tier 3 - Value
Maruthi Layout,1,42.0,4585.152838427947,Insufficient data (<10 listings)
Tippenahalli,1,55.0,4583.333333333333,Insufficient data (<10 listings)
Tejaswini Nagar,6,67.0,4576.023391812865,Insufficient data (<10 listings)
Bommanahalli,35,54.0,4568.9655172413795,Tier 3 - Value
Samethanahalli,6,47.5,4568.210262828536,Insufficient data (<10 listings)
GD Layout,2,56.0,4567.359898833006,Insufficient data (<10 listings)
DUO Layout,1,75.0,4564.820450395618,Insufficient data (<10 listings)
Silver Springs Layout,4,66.0,4564.3375788596595,Insufficient data (<10 listings)
Tata Nagar,4,70.0,4560.72695035461,Insufficient data (<10 listings)
Dodda Kempaiah Layout,2,60.0,4560.498768472906,Insufficient data (<10 listings)
Gaundanapalya,1,46.0,4554.455445544554,Insufficient data (<10 listings)
Malleshpalya,17,55.0,4545.454545454545,Tier 3 - Value
Electronic City,289,46.0,4545.454545454545,Tier 3 - Value
Basapura,9,60.0,4545.454545454545,Insufficient data (<10 listings)
Anwar Layout,2,30.195,4544.38752276867,Insufficient data (<10 listings)
Kudlu,26,53.0,4529.188181296615,Tier 3 - Value
Kogilu,20,64.75,4526.9549938885975,Tier 3 - Value
Mullur,1,95.0,4525.964745116722,Insufficient data (<10 listings)
Ankappa Layout,3,65.0,4524.886877828054,Insufficient data (<10 listings)
8th Phase JP Nagar,56,55.0,4522.452245224522,Tier 3 - Value
"Ananthanagar Phase 1,Electronic City , phase 2",1,45.9,4517.716535433071,Insufficient data (<10 listings)
GM Palaya,12,62.0,4509.567187198766,Tier 3 - Value
NGR Layout,13,46.0,4504.41609421001,Tier 3 - Value
AGS Layout,7,59.6,4500.46511627907,Insufficient data (<10 listings)
SRINIVASAPURA,2,56.589999999999996,4500.163934426229,Insufficient data (<10 listings)
Canara Bank Colony,7,52.0,4500.0,Insufficient data (<10 listings)
Daadys Gaarden Layout,3,72.0,4500.0,Insufficient data (<10 listings)
Vittal Nagar,3,49.0,4500.0,Insufficient data (<10 listings)
Poornapragna Housing Society Layout,4,57.7,4500.0,Insufficient data (<10 listings)
Chokkahalli,1,90.0,4500.0,Insufficient data (<10 listings)
Telecom Layout,3,54.0,4500.0,Insufficient data (<10 listings)
Jakkuru Layout,3,55.7,4500.0,Insufficient data (<10 listings)
Hanumanth Nagar,4,55.0,4498.977919036467,Insufficient data (<10 listings)
Rayasandra,22,61.5,4487.798813625546,Tier 3 - Value
Mangammanapalya,3,56.0,4480.0,Insufficient data (<10 listings)
Motappa Layout,6,54.25,4470.1492389408595,Insufficient data (<10 listings)
Koppa,2,69.0,4458.333333333334,Insufficient data (<10 listings)
near Ramanashree California resort,1,160.0,4444.444444444444,Insufficient data (<10 listings)
Devasthanagalu,6,52.5,4442.655701456641,Insufficient data (<10 listings)
Reliable Woods Layout,1,58.0,4441.04134762634,Insufficient data (<10 listings)
Jai Bheema Nagar,2,62.5,4434.7238521995805,Insufficient data (<10 listings)
Varthur,68,60.0,4433.239821063007,Tier 3 - Value
"Kudlu Village,",1,64.0,4429.065743944637,Insufficient data (<10 listings)
Vijaya Bank Colony,1,62.0,4428.571428571428,Insufficient data (<10 listings)
"JP Nagar 8th Phase,",3,250.0,4425.256341068538,Insufficient data (<10 listings)
Kambipura,16,45.0,4424.4470029457625,Tier 3 - Value
Kalkere Channasandra,1,53.0,4416.666666666667,Insufficient data (<10 listings)
Srigandada Kaval,1,53.0,4416.666666666667,Insufficient data (<10 listings)
Dr Shivarama Karantha Nagar,2,59.5,4416.666666666666,Insufficient data (<10 listings)
MCECHS  layout,4,65.0,4416.666666666666,Insufficient data (<10 listings)
Ashraya Layout,1,225.0,4411.764705882353,Insufficient data (<10 listings)
Hoysalanagar,8,53.0,4410.830401876133,Insufficient data (<10 listings)
Doddakammanahalli,7,60.0,4400.28388928318,Insufficient data (<10 listings)
VGP Layout,5,55.0,4400.0,Insufficient data (<10 listings)
Devarachikkanahalli,17,58.0,4398.826979472141,Tier 3 - Value
Gnana Bharathi,2,150.0,4392.361111111111,Insufficient data (<10 listings)
S R Layout,1,48.0,4379.56204379562,Insufficient data (<10 listings)
Dodda Nekkundi,29,56.0,4379.56204379562,Tier 3 - Value
NTI Layout,1,52.5,4375.0,Insufficient data (<10 listings)
Old Mangammanapalya Road,1,140.0,4375.0,Insufficient data (<10 listings)
Hagadur,3,47.5,4373.848987108656,Insufficient data (<10 listings)
Ramagondanahalli,47,61.0,4372.8423475258915,Tier 3 - Value
Gollahalli,9,48.0,4372.3554301833565,Insufficient data (<10 listings)
Chickpet,1,48.0,4371.584699453552,Insufficient data (<10 listings)
Mailasandra,1,43.66,4370.37037037037,Insufficient data (<10 listings)
Tirumanahalli,3,55.0,4365.079365079365,Insufficient data (<10 listings)
Vijayabank bank layout,1,48.0,4363.636363636364,Insufficient data (<10 listings)
Gottigere,48,55.79,4360.278745644599,Tier 3 - Value
Sugama Layout,1,36.0,4358.353510895884,Insufficient data (<10 listings)
Nagappa Reddy Layout,10,62.5,4357.978977544195,Tier 3 - Value
Ramanjaneyanagar,5,53.51,4350.40650406504,Insufficient data (<10 listings)
Chikkalasandra,29,53.12,4350.359712230216,Tier 3 - Value
KR Puram,91,58.0,4347.826086956522,Tier 3 - Value
Sai Gardens,4,58.0,4337.282740523593,Insufficient data (<10 listings)
2nd Phase Judicial Layout,8,44.125,4330.127569568378,Insufficient data (<10 listings)
Gollarapalya Hosahalli,12,52.0,4326.135501448476,Tier 3 - Value
Manayata Tech Park,8,47.5,4324.675324675325,Insufficient data (<10 listings)
Silk Board,5,54.0,4320.0,Insufficient data (<10 listings)
Udayapur Village,4,62.129999999999995,4314.583333333333,Insufficient data (<10 listings)
Varthur Road,17,52.76,4307.894736842105,Tier 3 - Value
Kumarapalli,4,62.5,4305.10752688172,Insufficient data (<10 listings)
Pai Layout,19,58.0,4304.635761589404,Tier 3 - Value
Poorna Pragna Layout,13,50.79,4298.89298892989,Tier 3 - Value
manyata,1,50.11,4286.569717707443,Insufficient data (<10 listings)
Chikka Tirupathi,17,105.0,4285.714285714285,Tier 3 - Value
Anathanagar,1,45.0,4285.714285714285,Insufficient data (<10 listings)
Annasandrapalya,1,150.0,4285.714285714285,Insufficient data (<10 listings)
Shettihalli,1,90.0,4285.714285714285,Insufficient data (<10 listings)
Chambenahalli,1,50.0,4273.504273504273,Insufficient data (<10 listings)
Coconut Grove Layout,5,48.0,4270.109235352532,Insufficient data (<10 listings)
Kengeri,73,40.6,4269.972451790633,Tier 3 - Value
Annaiah Reddy Layout,2,35.0,4269.59517657192,Insufficient data (<10 listings)
Bandepalya,1,48.0,4266.666666666667,Insufficient data (<10 listings)
Horamavu Agara,41,46.0,4253.521126760564,Tier 3 - Value
Geddalahalli,4,49.75,4253.1195008798595,Insufficient data (<10 listings)
Kaggadasapura,64,55.0,4246.303642264695,Tier 3 - Value
Raja Rajeshwari Nagar,164,53.935,4246.212121212121,Tier 3 - Value
Kumbena Agrahara,3,50.0,4237.28813559322,Insufficient data (<10 listings)
Mysore Highway,4,30.25,4235.221674876847,Insufficient data (<10 listings)
Chellikere,1,46.0,4227.941176470588,Insufficient data (<10 listings)
BSM Extension,4,39.0,4215.2067585593595,Insufficient data (<10 listings)
Anantapuram,1,63.0,4214.046822742475,Insufficient data (<10 listings)
KR Layout,3,41.0,4210.526315789473,Insufficient data (<10 listings)
Chennappa Layout,4,46.5,4205.2216150576805,Insufficient data (<10 listings)
Kengeri Satellite Town,40,42.5,4204.967402098355,Tier 3 - Value
Kanakapur main road,1,43.04,4199.024390243902,Insufficient data (<10 listings)
Punappa Layout,1,55.0,4198.473282442748,Insufficient data (<10 listings)
Glass Factory Layout,4,62.5,4190.69704913625,Insufficient data (<10 listings)
Maruthi Nagar,5,42.0,4176.470588235294,Insufficient data (<10 listings)
"Maragondana Halli, kr puram, old madras road",1,50.0,4170.141784820684,Insufficient data (<10 listings)
Bhagyalakshmi Avenue,3,24.0,4166.666666666667,Insufficient data (<10 listings)
Gulakamale,1,50.0,4166.666666666667,Insufficient data (<10 listings)
Kashi Nagar,3,50.0,4166.666666666667,Insufficient data (<10 listings)
Popular Colony,1,54.0,4153.846153846154,Insufficient data (<10 listings)
T C Palya main Road,1,48.72,4146.382978723404,Insufficient data (<10 listings)
Bellari Road,5,45.0,4146.341463414634,Insufficient data (<10 listings)
Jyothi Nagar,2,32.75,4132.516510253737,Insufficient data (<10 listings)
"Kirloskar layout, Basaveshwarnagar",1,49.5,4125.0,Insufficient data (<10 listings)
Uttarahalli,157,50.19,4119.3442622950815,Tier 3 - Value
Gunjur,21,60.0,4118.050789293068,Tier 3 - Value
Raghavendra Nagar,3,95.0,4113.533525298231,Insufficient data (<10 listings)
Kachanayakanahalli,3,35.0,4111.24546553809,Insufficient data (<10 listings)
Horamavu Banaswadi,25,51.6,4108.108108108108,Tier 3 - Value
Green Garden Layout,2,57.5,4097.554492291334,Insufficient data (<10 listings)
Kengeri Satellite Town KHB Apartment,1,45.0,4090.909090909091,Insufficient data (<10 listings)
Vasanthapura,10,39.864999999999995,4084.6067368946997,Tier 3 - Value
Duvasapalya,1,48.6,4084.0336134453783,Insufficient data (<10 listings)
Kammagondahalli,4,82.5,4080.370384085687,Insufficient data (<10 listings)
Doctors Layout,7,47.0,4078.9473684210525,Insufficient data (<10 listings)
Chikkathoguru,4,44.0,4076.05635013778,Insufficient data (<10 listings)
Akshaya Vana,8,53.5,4069.4444444444443,Insufficient data (<10 listings)
Muneshwara Nagar,2,57.0,4066.604127579737,Insufficient data (<10 listings)
Green View Layout,7,42.0,4059.4059405940593,Insufficient data (<10 listings)
Shingapura,2,52.5,4057.1049136786187,Insufficient data (<10 listings)
Chinnapanahalli,4,44.5,4052.621048419368,Insufficient data (<10 listings)
Abbigere,22,40.8,4046.5408805031448,Tier 3 - Value
Ayappa Nagar,3,50.0,4045.3074433656957,Insufficient data (<10 listings)
Chikkabanavar,13,70.0,4041.6666666666665,Tier 3 - Value
Sri Venkateshpura Layout,2,44.0,4036.898529045126,Insufficient data (<10 listings)
Soppahalli,1,25.0,4032.2580645161293,Insufficient data (<10 listings)
Nagondanahalli,5,47.0,4021.9378427787933,Insufficient data (<10 listings)
Konappana Agrahara,1,42.5,4009.433962264151,Insufficient data (<10 listings)
Pragathi Nagar,4,43.5,4006.1396440582957,Insufficient data (<10 listings)
Suraksha Nagar,6,62.5,4003.8092236398397,Insufficient data (<10 listings)
Hegganahalli,3,48.0,4000.0,Insufficient data (<10 listings)
Vikram Nagar,1,38.0,4000.0,Insufficient data (<10 listings)
Divya Unnathi Layout,4,58.980000000000004,4000.0,Insufficient data (<10 listings)
Kengeri Satellite Town Stage II,1,20.0,4000.0,Insufficient data (<10 listings)
Saptagiri Layout,1,44.0,4000.0,Insufficient data (<10 listings)
Shanthi Pura,1,32.0,4000.0,Insufficient data (<10 listings)
Neeladri Nagar,13,38.0,4000.0,Tier 3 - Value
Devara Jeevanahalli,3,52.0,4000.0,Insufficient data (<10 listings)
Doddakallasandra,11,43.0,3999.2982456140353,Tier 3 - Value
Kothannur,26,46.4,3999.2292809456985,Tier 3 - Value
Balaji Gardens Layout,2,36.5,3994.1758210074095,Insufficient data (<10 listings)
Sunkan palya,1,37.0,3991.3700107874865,Insufficient data (<10 listings)
Harohalli,1,52.0,3984.6743295019155,Insufficient data (<10 listings)
Doctor Layout Rayasandra,1,90.0,3982.3008849557523,Insufficient data (<10 listings)
Amarjyothi Colony,2,49.5,3978.1952364978197,Insufficient data (<10 listings)
"Bidere Agarahara, Behind Safal market",1,42.0,3962.264150943396,Insufficient data (<10 listings)
Harappanahalli,3,95.0,3958.3333333333335,Insufficient data (<10 listings)
Raghuvanahalli,4,32.5,3951.3888888888887,Insufficient data (<10 listings)
K R C kothanur,1,45.0,3947.3684210526317,Insufficient data (<10 listings)
Adarsh Nagar,1,50.0,3937.0078740157483,Insufficient data (<10 listings)
Suddaguntepalya,4,55.0,3929.8245614035086,Insufficient data (<10 listings)
Shauhardha Layout,1,20.0,3929.2730844793714,Insufficient data (<10 listings)
Allalasandra,1,22.0,3928.5714285714284,Insufficient data (<10 listings)
Dwaraka Nagar,1,51.0,3923.076923076923,Insufficient data (<10 listings)
Bommasandra,37,41.0,3917.4603174603176,Tier 3 - Value
Sompura,12,43.0,3916.1381254404514,Tier 3 - Value
Ramamurthy Nagar Extension,4,45.629999999999995,3910.3896103896104,Insufficient data (<10 listings)
Bisuvanahalli,42,38.5,3901.8152642663727,Tier 3 - Value
Shikaripalya,8,57.120000000000005,3900.3132505666244,Insufficient data (<10 listings)
Chokkanahalli,2,48.5,3890.3437096218167,Insufficient data (<10 listings)
Lake City,4,29.5,3887.1794871794873,Insufficient data (<10 listings)
Chokkasandra,1,33.0,3882.3529411764707,Insufficient data (<10 listings)
HAL Layout,1,65.0,3880.597014925373,Insufficient data (<10 listings)
Escorts Colony,1,93.0,3875.0,Insufficient data (<10 listings)
Madiwala,7,45.0,3862.6609442060085,Insufficient data (<10 listings)
Nobo Nagar,3,55.0,3862.3595505617977,Insufficient data (<10 listings)
Babusapalaya,25,45.9,3861.3793103448274,Tier 3 - Value
Parappana Agrahara,7,46.0,3852.5963149078725,Insufficient data (<10 listings)
Prasanth Extension,1,46.14,3845.0,Insufficient data (<10 listings)
Venkateshpuram,1,24.0,3840.0,Insufficient data (<10 listings)
Yelenahalli,13,47.88,3835.625,Tier 3 - Value
KUDLU MAIN ROAD,4,56.0,3825.136612021858,Insufficient data (<10 listings)
HOSUR RMAIN ROAD,1,56.0,3825.136612021858,Insufficient data (<10 listings)
HOSUR MAIN ROAD,3,56.0,3825.136612021858,Insufficient data (<10 listings)
Harsha Layout,4,18.0,3822.222222222222,Insufficient data (<10 listings)
Hosapalya,3,90.0,3800.0,Insufficient data (<10 listings)
Stage-4 Bommanahalli,5,55.0,3785.714285714286,Insufficient data (<10 listings)
Sarjapur,82,51.675,3782.2817161052453,Tier 3 - Value
MLA Layout,2,38.0,3776.141384388807,Insufficient data (<10 listings)
"Lakshminarayanapura, Electronic City Phase 2",1,75.5,3775.0,Insufficient data (<10 listings)
Alfa Garden Layout,4,43.394999999999996,3759.5238095238096,Insufficient data (<10 listings)
Yarandahalli,2,44.05,3753.1472359058566,Insufficient data (<10 listings)
Doddabanahalli,5,37.0,3750.0,Insufficient data (<10 listings)
NR Colony,1,40.05,3749.9999999999995,Insufficient data (<10 listings)
